540,6860,283,193
544,6848,286,187
542,6864,284,195
540,6848,285,195
544,6868,283,193
540,6844,286,195
542,6868,281,192
540,6844,287,197
540,6872,279,192
542,6852,286,195
540,6868,277,190
542,6856,284,195
544,6868,277,190
540,6856,283,193
546,6868,276,188
540,6860,284,195
546,6844,287,187
542,6864,284,195
542,6844,286,195
544,6864,284,195
540,6844,286,195
542,6868,282,193
542,6844,286,195
540,6872,280,192
542,6848,286,195
540,6868,278,190
542,6852,284,195
544,6868,278,190
538,6856,283,193
546,6868,277,190
538,6860,284,195
548,6844,274,187
542,6860,285,195
544,6844,286,187
544,6864,284,195
542,6844,286,195
542,6868,282,193
544,6844,287,197
540,6872,281,192
544,6844,287,197
540,6868,280,192
540,6852,284,195
544,6868,279,192
538,6856,284,195
546,6868,277,190
538,6856,284,195
544,6872,276,188
542,6860,284,195
546,6844,286,187
544,6864,285,195
544,6844,286,195
542,6868,283,193
544,6844,288,197
540,6868,281,192
544,6844,287,197
540,6868,281,192
542,6848,286,195
544,6868,280,192
538,6856,284,195
546,6868,279,192
538,6856,284,195
542,6872,276,188
542,6856,285,195
546,6872,273,187
544,6860,285,195
546,6844,286,187
542,6864,283,193
546,6844,288,197
540,6868,281,192
546,6844,287,197
542,6868,282,193
542,6844,286,195
542,6868,282,193
540,6852,284,195
544,6868,280,192
540,6856,284,195
544,6868,277,190
544,6856,286,195
542,6872,274,187
542,6860,285,195
546,6844,273,187
542,6864,283,193
546,6844,287,187
540,6864,281,192
544,6844,287,197
538,6868,281,192
540,6844,285,195
542,6868,282,193
536,6848,284,195
544,6868,281,192
538,6852,284,195
544,6872,277,190
542,6856,285,195
540,6872,274,187
544,6856,286,195
540,6868,274,187
542,6860,283,193
548,6844,288,187
540,6864,282,193
548,6844,288,197
540,6864,282,193
544,6844,286,195
542,6868,283,193
538,6848,285,195
546,6868,282,193
538,6848,285,195
544,6868,279,192
542,6852,286,195
540,6872,275,188
546,6856,286,195
540,6868,275,188
542,6860,284,195
550,6844,275,188
540,6864,283,193
550,6844,289,188
540,6864,283,193
544,6844,286,195
544,6864,283,193
540,6848,285,195
546,6868,283,193
538,6844,285,195
546,6872,280,192
544,6848,287,197
542,6872,277,190
546,6856,287,197
542,6868,275,188
542,6860,284,195
544,6868,276,188
540,6864,283,193
552,6840,289,188
540,6864,283,193
546,6844,287,197
544,6864,284,195
542,6848,285,195
546,6868,284,195
540,6844,285,195
544,6872,282,193
542,6844,287,197
542,6872,278,190
546,6852,286,195
542,6868,276,188
542,6860,284,195
546,6868,277,190
540,6860,284,195
554,6844,277,190
540,6860,284,195
548,6844,288,187
544,6860,284,195
